Founders,StartYear,NumberOfSkills,Founder
Edoardo Conti,2013.0,0.0,
Payom Dousti,2011.0,0.0,
Ted Nash,2008.0,0.0,
Philip O'Connor,2007.0,20.0,
Tim Growney,2007.0,20.0,
Michelle Aguilar,2008.0,23.0,
Martin Birač,2006.0,21.0,
Saman Rahmanian,2005.0,10.0,
Shrenik Jain,2018.0,6.0,
Mikhail Seregine,1999.0,17.0,
Marco Mascorro,2009.0,27.0,
Petar Dobrev,2015.0,0.0,
Peter Wysinski,,0.0,
Eleanor Cooper,2010.0,10.0,
Eric Carreel,1985.0,5.0,
Peter McCaffrey,2007.0,21.0,
Vivek Vaidya,2016.0,21.0,
Sarah Gora,2017.0,9.0,
Cisco DeVries,1995.0,15.0,
Christine Moon,2020.0,0.0,
Tom Davenport,1980.0,19.0,
Amit Rosenzweig,2006.0,14.0,
Allie Egan,2008.0,17.0,
Sean X Cummings,,7.0,
Josh Hartung,2007.0,25.0,
Pierre Poignant,2001.0,22.0,
Andrew McCollum,2004.0,0.0,
Lawrence Wisne,2002.0,8.0,
Chris Ball,,0.0,
Jiren Parikh,,0.0,
Alexis Prenn,,0.0,
Abhinav Lanka,2013.0,8.0,
Peter Jin,2017.0,18.0,
Foster Provost,2008.0,0.0,
Bruno Van Tuykom,2006.0,13.0,
Stella Kim,2017.0,15.0,
Luc Dudler,2007.0,12.0,
Koki Shimada,2012.0,0.0,
Tibor Pusztai,2010.0,0.0,
Kristen Ablamsky,,8.0,
Rob McQuade,2012.0,26.0,
Ryan Holmes,1999.0,28.0,
Gunther Eysenbach,1994.0,27.0,
Dheera Venkatraman,2004.0,0.0,
Csaba Konkoly,2015.0,11.0,
Alexandre Poisson,2016.0,3.0,
Juliette Delanoe,2009.0,11.0,
Liza Charalambous,2008.0,23.0,
Daniel Chait,1996.0,23.0,
Shav Garg,,0.0,
Dr. Paul Nguyen,,9.0,
Charles Roberts,2005.0,10.0,
Thomas Hale,2015.0,10.0,
Steve Glenn,2014.0,5.0,
Jaime Jorge,,0.0,
Domingo Mihovilovic,1989.0,26.0,
Ali Diab,1997.0,23.0,
Sam Crowther,2013.0,16.0,
Antti Karjalainen,2008.0,21.0,
Adam Bowen,2003.0,23.0,
Matthew Roberts,,19.0,
Matija Kopić,2007.0,28.0,
Brian Rowen,2012.0,15.0,
Neal Sarraf,2015.0,0.0,
,,,Al Hariri
Alexis Patjane,2010.0,20.0,
Jeremy Smith,2011.0,20.0,
Kathryn Wood,1977.0,20.0,
Nakamura Jin,,1.0,
Eric Peck,2008.0,17.0,
Johannes Huebner,2005.0,27.0,
Hanna Marie Asmussen,2013.0,18.0,
,,,Jon Hollander
Boris Sofman,2003.0,20.0,
Jeff Sun,2011.0,22.0,
Taro Kosuga,2019.0,0.0,
Kristian Tysander,2010.0,0.0,
Susan Zheng,1990.0,0.0,
Enhao Gong,2010.0,31.0,
Betsy Fore,2005.0,22.0,
Chris Messina,2018.0,10.0,
,,,Laine Bruzek
Alexis Maybank,1997.0,0.0,
Aoibheann O'Daly,,,
Long Chen,2010.0,18.0,
Wayne Volkmuth,1994.0,0.0,
Nick Handel,2011.0,23.0,
Nathan Wenzel,1999.0,24.0,
Gowri Thyagarajan Mukherjee,1997.0,23.0,
Andreas Glänzer,1999.0,22.0,
Steve Flanagan,2006.0,19.0,
John Mitchinson,2010.0,0.0,
John Fagan,2012.0,0.0,
Douglas Stark,,13.0,
Garrett Lord,2011.0,20.0,
Josh Fraser,2017.0,16.0,
Roi Ginat,1996.0,24.0,
Anthony Showalter,1999.0,23.0,
Marc Campbell,,23.0,
Sathish Nagappan,2009.0,3.0,
Karim Slaoui,2010.0,10.0,
Andrew Stevens,2008.0,28.0,
Peter A. Tyrrell,2008.0,7.0,
Shaun Maguire,2008.0,19.0,
Tess Cosad,2008.0,21.0,
Arun Majumdar,1997.0,0.0,
Ayyappan Sankaran,1996.0,0.0,
Diego Gutiérrez Zaldívar,1993.0,32.0,
Vipul Sharma,2015.0,9.0,
Tom Latchford,2016.0,21.0,
Jesse Boyes,1996.0,32.0,
Brendan Collins,2009.0,9.0,
Juliana Miller,2009.0,21.0,
Dominik Tomicevic,2010.0,20.0,
Anuraag Saboo,2014.0,2.0,
Dan Anderson,2013.0,3.0,
Jerry Luk,2003.0,21.0,
James Berger,2015.0,0.0,
Lior Hakim,2002.0,0.0,
Akash Venkat,2011.0,22.0,
Mickey Konson,1991.0,20.0,
Shubh Malhotra,2008.0,28.0,
Diogo Monica,2011.0,24.0,
Nichole Garcia,2014.0,9.0,
Benjamin Gleason,2000.0,21.0,
Harry McNamara,2017.0,0.0,
Peter Williams,2013.0,11.0,
